,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
0,0,302583.8468288399,215926.6683384212,160681.37523422018,113789.97308263296,363023.50657980057,21337.20127379261,391837.8873053674,401233.99270998995,-3081.409914827717,339932.91356076405,-22225.47540926361,134130959977665.0,37108.55158484521,-27672.744104410453,-18222.0,-450.8670515359845,88294.91302515693,7123.61527116429,101732.0832939397,50727.5995968028,-37808.14525764932,31253.529598566667,49693.461926640026,7561.1614701945855,406381.02559935435,238941.02544902806,122684.34026908793,-8436.7413515447,-6122.540793106617,-31327.655609687718,20673.823732817407,-18151.430144182406,-6586.561533973367,-32082.339601266132,28034.867347022628,-12265.664712426715,11260.03887897934,161919.88835142239,-17967.847705545853,18731.388189665035,5122.460692697634,-32143.187763610018,19120.54661036124,-7850.448745550417,4640.26686656673,1512.1306625546317,3538.9549989966426,-34430.38828351647,-9087.029716744553,9879.391774193577,-33394.10763920509,110993.30893693023,-21345.09675104125,220205.28419218416,87055.08609195137,345995.4772189651,119886.5682899532,-4734.756538434717,17400.71202832768,-29374.348088845498,-17348.650873492872,78644.30263247258,-38662.5154775117,37836.21218586732,154215.30460600645,10273.452013786784,-41776.69368404678,289866.88194287394,-13156.417095625393,-13085.492444916954,-9587.465693409722,-25876.84913104649,218005.64975044876,-23431.060934960416,40430.670438083514,78966.91466987223,496707.51662741345,133417.9468365987,389.5134150190788,486400.2703255134,105662.20895974658,330604.54353412974,33395.52972257219,-35837.038664618085,-21508,-20803.84086478251,-31727.66106378424,254483.52508520347,91398.77182789227,185869.68459452494,56136.47554066313,6439.213877400241,194339.9997253463,218748,-21751.61926033847
1,0,296828.27377760457,213045.32010466643,155028.17779324358,111604.7278138918,357377.7109788264,21333.981513368246,391764.7517007231,401162.05460476794,-3081.3828440662564,339868.92227825976,5834734399977700.0,8682335977665.0,36253.12679600415,-27730.136513651367,32532.418159732806,3677.1927015296387,98230.83970334161,9001.93047069234,117142.952538527,24549.18356086874,-34513.9757248514,52479.01278397527,68170.66054078496,7573.528496443709,406540.52796610666,239189.53352289088,122800.39175899288,-8434.917682686282,-6149.281583808739,-31589.35408254441,20687.659878313156,-18719.467363362026,-11374.522516310437,-36519.7858193583,28046.14042341883,823.5545764597628,56734.25891102588,124526.95788614437,-18001.155233126192,21511.57123062155,5122.460692697634,-30095.96731642973,26905.55452077517,-4662.046480346959,104618.10194902521,1492.1299889421884,4062.4631901185594,-34139.03676436167,-8788.664500813658,79703.96854838727,-12402.879544085892,112713.4066959137,-22302.37621019097,196700.57695513993,114996.31485597673,442717.98215857847,-7959.482398100594,-8414.121605240569,-3260.971038410331,-28569.83545281568,-17875.934649430503,78656.78288148352,-39421.779353362144,35663.13583669995,154762.53556067185,12216.004917583687,-40635.30946990537,291048.96771585045,-13201.356398049196,-10196.040132319893,-9702.679597944934,-26051.44601104296,217920.2580390932,697461599976368.0,40400.451103592386,16440.844732159472,481227.2014649676,145563.7189045148,7824.8082329936005,371620.24855094886,88229.30059833523,242344.16844116943,28481.497053701576,-31303.58102593493,-21508,-20816.707255570826,-32506.279095560614,251459.3240814013,89736.38481138856,186528.80106312854,63877.10162123082,6446.586494404911,194383.05312746527,218748,-30299.88458795255
2,0,327271.45712475025,234716.99912777997,172092.13683816054,114193.62879978094,364066.39073783136,21337.08628234888,392031.53471992916,401360.04878650856,-3074.9916833821576,340061.2126009583,-22205.92420490372,118547279977665.0,38676.26877364267,-27722.547434743483,15988.980564834594,3358.286797859364,97463.2573848553,8856.824575449842,112227.41665878776,52830.789630048675,-37709.368286522375,33301.98485465327,58565.60322361972,7590.2715473655535,406503.36861008435,238917.68420491333,122673.44007532905,-8436.495089691543,1915872749993816.0,-31606.771048285194,20660.45397424836,-18085.2972318468,-10097.584755741802,-35830.41851209066,28025.04647915779,-12532.4204552294,7003.908032772028,165419.65601475342,-17051.399482359935,18649.72039979157,5122.460692697634,-31949.73636556095,23255.571947816832,-7931.653160473361,-166.35982008996507,1589.633272802869,2284.461290171049,-34464.46448458721,-8962.494670095131,8898.70951612903,-33215.743513064976,111028.33355193233,-25167.97171440497,193021.91266255794,18814.742665693873,109806.77999040215,-13209.495047296497,-7842.194876782407,-937.0035527276436,-29507.85718721402,-16602.838272423207,78703.07109871188,-37101.472427497065,22795.35511059822,152929.0506590465,10210.789259608213,-42428.0,294598.2061072372,-13079.15103415375,-12221.304026116562,-9718.99052250614,-26085.849651463457,217927.04862970018,1392918999976368.0,40400.89488582924,869.3381552852006,389561.16259908804,133026.14925522363,-142.15889885452634,374903.1347730586,88612.22281559522,365290.23484988074,28845.211736722173,-33512.4186971412,-21508,-20231.91588796201,-30668.67236534792,251464.51961171677,91705.14221282446,186246.4876113482,55978.62278654864,6426.802672763119,194262.49889682457,218748,-18209.737871984842
3,1,269715.7266123921,192432.5981247272,142886.8491353928,109683.69356001096,352414.53046310844,21329.381855619107,391660.20770561905,401078.7405468915,-3081.3557733047865,339795.50003522803,-22214.58807193378,13051331977665.0,36390.39910755474,-27467.838973897415,-18222.0,-7032.730563398123,72452.866840841,4128.790822131372,95045.18313321339,47412.894567447176,-37726.06697218567,23974.975816301594,40898.469684416865,7444.971506171709,406287.4357003754,238950.22471364954,122682.10266080266,-8436.319986585433,1296271349993816.0,-31650.205637284787,20700.56324995528,-18384.199582727913,-11672.334726568744,-38572.788493138396,27565.04096656209,-8468.032955799357,40193.91921879242,138127.88983281443,-17935.379996691332,20341.5097096065,5540.496025884725,-32843.39771524419,16781.181064776454,-7458.220747484986,4640.26686656673,1574.0077465431448,2467.1347169505034,1745582439965479.0,-9013.519446152906,16646.099354838727,-29054.842882951714,107381.88196784345,-22804.509369261905,189198.5211370482,49820.40576806454,294990.4378588624,-23786.49476395206,-9254.779677602406,-3922.7384962314704,-28859.006840502214,-17794.396417404892,79417.34694147138,-36303.678555550105,36257.94992838589,152917.06320117746,10839.891978385407,-40616.29290114558,278143.26468237967,-13246.77360143758,-6680.5144339970375,-9676.256141847614,-26050.394135637027,217917.3262122067,204428399976368.0,40399.26536897634,30032.173529640415,485464.4707196306,136959.6010621933,2330.8439925292987,364913.23907408083,87797.09334473257,275451.12156287587,28113.85391688777,-30484.59950691989,-21508,-21387.657854122837,-27070.202705093863,251224.73201288693,88276.13751296228,185237.57226831792,58382.35290998974,6204.241903772764,187676.84932003272,218748,-29077.21042889543
4,0,322100.2062106958,225137.13192324486,173448.90422399496,113136.78474033938,361335.93039680616,21336.807017414114,391821.994810434,401217.42195814755,-3081.6314028760744,339927.723367722,5642453379977700.0,52316639977665.0,37559.19153183533,-27691.716801680206,-11477.367749772238,80.64278791454126,89574.21688930092,7365.458429901817,109437.51791623334,52956.78718964406,-37412.471316000425,39011.50907906525,53512.3401370792,7593.71628989969,406429.64749834297,239159.12128902978,122786.1894636869,-8434.906425471097,1934895599993816.0,-31618.378130333866,20717.975028556706,-18094.196788495214,-10324.03069007588,-36210.622527876316,28032.898250708895,-11287.156146782329,22942.922816458686,152313.18665537998,-18135.795605081577,18925.053544867573,5568.541914058682,-31394.19441594609,21491.389857476854,-7546.979061470491,43093.28035981981,1543.3817150740804,2908.9359440177027,-34480.160189322814,-9071.462835913397,17920.986290322606,-33161.39819338165,110954.39269803945,-23290.9089319236,201325.63760125262,55929.99511924489,272502.4981034014,6505.057287567448,-8078.237858618976,-923.9948041706134,-29190.28541526499,-17091.651810384326,78721.59864715526,-36816.99268135277,33703.55993707762,153512.60224177392,10406.679240342273,-40781.339173159984,292554.47260847647,-13158.17714112199,-10710.805027777249,-9710.937881892984,-26077.168113171345,217928.27836101223,1733632999976368.0,40401.36230863269,136333.63198482068,467267.79662283685,134250.94732982636,1186.0191981035678,381017.78757683584,89031.28669970622,365032.7272793956,29175.177067885365,-33222.9001854891,-21508,-20465.78923556768,-32166.78155707718,250142.31688215773,90901.03967984043,186230.43649963278,56715.03608859306,6434.530873706073,194311.52800782875,218748,-26386.100504415655
5,0,287800.49675815343,205263.2171827299,150540.40874779163,111140.52373917185,356173.6538145547,21333.114149335543,391748.55792626546,401150.0868395479,-3081.267178085449,339858.1621219534,5901038199977700.0,214553879977665.0,37130.67337678129,-27703.574737473773,45427.81566960225,1294.2569213265451,92495.29404576296,7917.666975685817,102086.35615013701,53286.3192685861,-36594.235718499025,31907.291914339185,49500.58928974939,7518.863236286787,406357.45169023395,238862.40720776492,122647.6261137268,-8437.155156914196,1929460499993816.0,-31625.08867285163,20584.7438297938,-18017.553192876567,-11268.831284145766,-36794.29509898478,28042.276071903158,-9604.77617796988,35000.65864497999,142398.24854128237,-17156.091601638433,18901.541012518974,5642.06762089303,-32081.36742553778,19971.87535630796,-7227.744718477326,100772.8005997001,1571.5076623416087,2502.4437978455576,-34436.0676503616,-7676.929761453569,35475.198709677396,-10344.724744796811,111012.767056376,-24868.91669341139,196497.12641841205,84069.51999333753,369622.02084864327,38578.99870226013,-8578.50134680303,-529.6808775141476,-28788.874496523604,-17297.79012566064,78753.36190100187,-38134.17671150338,51579.561613276775,153439.83158303765,10785.327987748846,-42428.0,289673.55387744034,-13214.86763075722,-9043.400083274122,-9721.591490994135,-26087.569040753497,217918.76281548836,-23611.506331888468,40402.71264569363,-12567.344700214326,594610.8326362752,136618.4408332532,-142.15889885452634,408242.1171728352,90671.033422256,353094.2277065916,31157.01054422889,-31556.119830503,-21508,-20915.443338401517,-28434.561754452425,251408.06581927245,89383.825462943,185875.55042405718,57709.995624884934,6441.21010532174,194351.8660107701,218748,-28496.495732486786
6,0,289348.95042168366,207184.11600523334,153619.22704641565,112415.70884561606,359472.96005996043,21334.10636122142,391770.17473216937,401170.07695288194,-3081.301631781855,339880.1887948628,-22210.677831061817,114373079977665.0,37438.4739387534,-27747.686258625894,8289.919222593398,5404.599679743769,102388.57726180939,9787.920736589262,104167.70918029679,53218.47442880378,-37253.12623077272,33171.23239149919,49616.31287188345,7534.444687981948,406385.5673616616,238883.67832659202,122657.55957380903,-8436.738311274907,1676728349993816.0,-31627.90481734865,20594.22703063931,-18121.43250065199,-10699.135787407853,-36840.83048633353,28039.19935891287,-11288.06554136006,22935.11340206183,152319.6082474227,-17981.98201315845,18915.453753553644,5236.539237837544,-31958.147295910872,20017.661103989194,-7643.537597314105,29634.725637181342,1573.3827254927608,2480.558003902342,-34493.27436367427,-9026.924260201966,16057.689999999999,-25746.74573094603,111090.59953415795,-20801.791745742637,196394.96046159283,37793.81683954993,219577.15591266428,-23288.626628422964,-8587.92991232585,-3747.3543254883157,-29245.327570706646,-17201.433629475876,78792.6734918618,-35730.578178184835,26539.167588661177,153226.9722256281,10377.576945863188,-41298.91596601026,290935.27989114006,-13209.25837171168,-9337.812468125998,-9716.160043254593,-26090.896981564707,217924.33322904754,178774639976368.0,40400.22186914356,62140.72018753986,416230.9098869446,134068.9858323014,597.7768725261121,370223.6821396619,88010.04071383826,353476.9766570295,28627.16146212392,-32664.525302951264,-21508,-20859.146789244354,-22364.276630218174,251398.0054864053,90352.76976324133,185871.47062471812,56714.64132037948,6442.092859500967,194357.06317295547,218748,-26384.535195386103
7,1,252361.35913810748,181128.8473615352,133615.6053321911,111678.11976246408,357567.32628028636,21332.32563657856,391628.94995492167,401066.70702471974,-3084.582115875774,339766.0678429785,-22199.943836511276,-22335.0,36755.6284274008,-27704.997689769003,-18222.0,-3799.379040074222,80235.29868104997,5600.00337111792,90306.78368157304,49244.705241564676,-37579.74120120393,27330.955703932923,36925.29336446508,7559.599319510497,406421.11604258005,238758.40085693414,122599.05589310631,-8438.107254375798,165498794993816.0,-31650.76379204995,20530.17655935538,-18198.382977534366,-11697.76976608501,-38068.3250919853,27989.898109957372,-9823.334008152535,33790.19941348975,143393.5953079179,-18111.646855304014,19577.978481624246,5382.074657550898,-32519.997443288226,15439.086335872089,-7593.041424232633,20982.79760119954,1783.3897984234932,1089.7887514569557,1994179319965479.0,-9069.733182487731,16449.96290322582,-34265.02622387381,109456.11750073498,-24288.25168971725,188085.09686252914,27354.079153318162,217449.67953653343,-3039.149285394371,-9509.035058104437,-2246.753159279925,-29071.93321683881,-17564.751725094626,79855.1131737446,-35093.99958576875,26914.662802474653,152782.2460891208,10570.140877345613,-39985.78320980954,285417.2524166021,-13250.806383821102,-5221.639453590644,-9709.81300156365,4586445359973857.0,217914.9889474514,1559267599976368.0,40400.5366808021,92952.72987351735,418905.82016059867,135272.98785238323,1910.992712893385,373037.3199064865,88284.55296497801,314028.81147752714,28765.018836086696,-30405.60674172086,-21508,-21519.365534795492,-32513.768573656613,251241.1357596236,89792.59310250149,185154.89396300117,57580.732968907236,6396.2803137455785,194039.80033398943,218748,-28340.34783314511
8,0,344070.71856871276,233264.0115569124,181311.19728036833,116030.26231280356,368124.1581890777,21339.918357334427,391902.96368272265,401261.7421436318,-3081.3188586300685,339967.59924109286,-22206.38423324164,-22331.999760093277,37667.74946444897,-27749.583528352865,21673.136046158404,27896.324385824468,156524.4524461675,20021.917070498515,142872.01871986393,64102.72515385148,-36478.477033138224,79937.0300464132,91855.42035098304,7541.364214409594,406381.8850055053,238885.1669560123,122658.25475308212,-8436.725575009565,2119688999993816.0,-31621.82854160956,20650.03799954924,-18098.10952460788,-11682.706296080232,-37598.26817403153,28025.784890275492,-11265.027545390742,23161.586419566363,152133.38207818128,-18176.772420649027,18968.600424306067,5746.292205323153,-27443.580430569782,35647.77071864868,-7703.229821428322,29634.725637181342,1634.0097673805058,1869.2148264216312,2688629299965479.0,-9086.164890031749,15175.075967741941,-31192.425457162575,113258.23404038811,-20323.152016167776,188109.31673122116,33789.67673370836,203059.58486062466,1962.6531781804151,-9189.710311219398,-1691.1744382445077,-29116.44592449516,-16960.97953560768,79366.52931224719,-36683.73191902474,42783.28142754093,152747.77266441495,10447.111480430325,-42428.0,296710.9618384821,-13143.992967050617,-10468.649680047325,-9715.250139899417,-26090.578625160302,217914.9137530466,1823821999976368.0,40401.47417691993,147740.31956476672,531948.8881608582,134503.74907918664,-142.15889885452634,380531.81213922706,88980.59095718579,379199.90580912965,29152.14006934401,-30452.40263207098,-21508,-20298.62835667915,-26092.50252215184,238024.07542463398,93102.29426822143,186386.24039318017,56728.261504965165,6427.416965809952,194266.4930137912,218748,-26437.92462595211
9,0,282191.0042412127,203982.61796772803,150679.56437710812,114184.45480620948,364042.6888251491,21331.116583684492,391896.1095735337,401297.71119624306,-3074.9449247941725,340042.4772699775,-22066.995646864205,-22335.0,36955.60356642595,-27760.967146714687,-18222.0,1099.3699801947005,92026.21596224353,7828.9911508154,101687.79918691509,50087.91967885691,-37901.8277145061,27113.0349320088,46067.456353091984,7592.204208147803,406392.032827804,238951.10858736787,122689.04902244576,-8427.773541692048,1578896549993816.0,-31619.697405233364,20600.756447614884,-18162.938191572593,-13115.958425714753,-38532.68885084851,28049.192522705147,-11649.095188721409,19202.213320434137,155389.1292438854,-18134.115967629823,19065.711356727938,5122.460692697634,-32541.86586219812,18665.550742779524,-8004.154169954592,-32851.42128935534,1633.3847463301217,1874.7592275539178,1321346459965479.0,1040310179990852.0,4975.98048387097,-31089.30869673781,108802.32468736559,8473.21905325773,175685.15748323684,5172.617115358586,61922.132989168575,-21927.258546754783,-10007.727008521713,-3565.853559679156,-29278.91524082135,-17453.813967917493,78587.33010903532,-38376.87976440352,30227.34398269376,152071.00793701046,10342.871930197136,-42428.0,293095.94644778845,-13197.553724053143,-12578.086561044405,-9657.692539634461,-26021.147362830467,217828.2067422624,1813800999976368.0,40401.759121494906,126091.51754589975,442504.3231410133,133851.99343581664,-142.15889885452634,374848.40493389574,88467.24960016875,325926.5998070655,28856.4759840419,-20882.38522560822,-21508,-20934.41146087495,-29021.142846378556,251018.64289591095,91698.15676686351,185792.15762580364,56500.96140643941,6460.832307914974,194460.61349206555,218748,-25342.485140368604
